iter	Passed	Remaining
0	3	300
1	5	260
2	8	278
3	10	261
4	14	267
5	16	255
6	18	252
7	21	245
8	23	234
9	25	231
10	27	224
11	30	225
12	33	224
13	36	223
14	38	219
15	41	218
16	44	216
17	46	214
18	49	212
19	51	205
20	53	202
21	56	200
22	59	198
23	61	194
24	62	188
25	65	185
26	66	179
27	67	174
28	69	169
29	70	165
30	72	160
31	73	155
32	74	151
33	76	149
34	79	147
35	81	144
36	84	143
37	86	141
38	88	137
39	90	135
40	91	132
41	92	128
42	95	126
43	97	124
44	100	122
45	102	120
46	104	118
47	107	115
48	109	113
49	111	111
50	113	108
51	115	106
52	117	104
53	119	101
54	120	98
55	123	96
56	125	94
57	128	92
58	130	90
59	132	88
60	135	86
61	137	83
62	138	81
63	141	79
64	142	76
65	144	74
66	146	72
67	148	70
68	151	67
69	153	65
70	155	63
71	157	61
72	158	58
73	160	56
74	162	54
75	164	52
76	166	49
77	168	47
78	170	45
79	171	42
80	173	40
81	175	38
82	177	36
83	179	34
84	181	32
85	184	29
86	186	27
87	187	25
88	189	23
89	190	21
90	192	19
91	194	16
92	197	14
93	199	12
94	201	10
95	202	8
96	204	6
97	206	4
98	208	2
99	211	0
